user,ordernum,orderstatus,channel,date_ordered,age,gender,ordertotal,state
09c94,16,finished,social,4/20/2019,51,Female,93.44,OK
6f577,000f8,finished,google,1/22/2019,53,Male,80.52,FL
42de2,193,cancelled,social,4/15/2019,22,Male,78.54,NM
9ff0b,001a6,finished,google,3/24/2019,50,Male,67.1,GA
96143,206,finished,social,4/16/2019,56,Male,134.16,TN
77992,502,finished,direct,4/19/2019,36,Male,73,OK
23abb,0063d,finished,direct,3/3/2019,34,Male,66,FL
f820e,670,finished,social,5/12/2019,46,Female,87.91,NJ
bedac,009af,finished,direct,4/9/2019,46,Male,87.12,FL
324ef,00aab,finished,google,5/3/2019,33,Female,78,TN
92f2b,00ad9,finished,direct,3/26/2019,49,Female,102.96,TN
1a136,00b58,cancelled,others,3/15/2019,20,Male,85.8,TN
60ca8,00c0a,finished,google,1/25/2019,22,Male,92.04,TN
2f82e,00c0e,finished,others,3/1/2019,19,Male,79.2,FL
9a47d,00ca7,finished,google,4/26/2019,56,Female,67.85,CA
ac3d2,00dad,finished,direct,5/8/2019,22,Female,90.24,TN
31279,010dd,finished,others,3/5/2019,49,Male,128.14,NJ
04cf1,11000000,cancelled,google,4/30/2019,49,Male,67.1,GA
4561f,1200000000,finished,google,1/21/2019,29,Male,95.16,GA
27727,0133c,finished,social,5/11/2019,54,Male,76.56,FL
ea9c7,1361,finished,others,2/22/2019,33,Male,78.54,NM
9aa6c,0143e,finished,direct,1/15/2019,36,Female,99.06,TX
8aa34,014f1,finished,social,4/13/2019,47,Male,59.69,TX
45a73,1520,cancelled,google,4/27/2019,23,Female,75.48,LA
4ac0d,015c5,finished,others,4/22/2019,26,Female,81.76,OK
28f09,0162e,finished,google,1/16/2019,35,Female,78,TN
77cf6,0164a,finished,others,4/27/2019,49,Male,77.05,CA
48aec,0165a,finished,others,1/22/2019,42,Female,63.25,CA
d9758,1725,finished,google,4/19/2019,47,Female,95.36,NJ
41371,1776,finished,google,3/20/2019,47,Female,73.6,CA
4b1e1,0197a,finished,direct,4/1/2019,25,Male,74.93,TX
afa1b,01bf4,cancelled,social,4/22/2019,48,Female,99.84,TN
0db85,01ce0,cancelled,social,1/20/2019,43,Female,86.01,TN
fce2c,01d27,finished,social,4/22/2019,46,Female,128.14,NJ
a90c1,01dc5,finished,google,2/11/2019,23,Female,66.6,LA
50000,1E+54,finished,direct,2/5/2019,30,Male,83.82,TX
10339,1E+56,finished,direct,3/19/2019,55,Male,65.49,LA
16742,01ef6,finished,social,4/26/2019,38,Female,104.92,GA
